ID,Unvocalized,Vocalized,Root,Normalized,Triliteral,Past,Future,Imperative,Passive,Madhi,Mudhari,Amar,Madhi_from_Vocalized,Mudhari_from_Vocalized,Amar_from_Vocalized
2161,سدج,سَدَجَ,سدج,سدج,1,0,0,0,0,سدج,يسدج,اسدج,سَدَجَ,يسدج,اسدج
2162,نخر,نَخَرَ,نخر,نخر,1,0,0,0,0,نخر,ينخر,انخر,نَخَرَ,ينخر,انخر
2163,ضلع,ضَلُعَ,ضلع,ضلع,1,1,1,0,0,ضلع,يضلع,اضلع,ضَلُعَ,يضلع,اضلع
2164,حبل,حَبَلَ,حبل,حبل,1,0,0,0,0,حبل,يحبل,احبل,حَبَلَ,يحبل,احبل
2165,بدل,بَدَلَ,بدل,بدل,1,0,0,0,0,بدل,يبدل,ابدل,بَدَلَ,يبدل,ابدل
2166,علم,عَلَمَ,علم,علم,1,0,0,0,0,علم,يعلم,اعلم,عَلَمَ,يعلم,اعلم
2167,سمل,سَمُلَ,سمل,سمل,1,1,1,0,0,سمل,يسمل,اسمل,سَمُلَ,يسمل,اسمل
2168,زلق,زَلَقَ,زلق,زلق,1,1,1,1,0,زلق,يزلق,ازلق,زَلَقَ,يزلق,ازلق
2169,نقش,نَقَشَ,نقش,نقش,1,0,0,0,0,نقش,ينقش,انقش,نَقَشَ,ينقش,انقش
2170,حدث,حَدُثَ,حدث,حدث,1,1,1,0,0,حدث,يحدث,احدث,حَدُثَ,يحدث,احدث
2171,حلق,حَلَقَ,حلق,حلق,1,0,0,0,0,حلق,يحلق,احلق,حَلَقَ,يحلق,احلق
2172,معك,مَعُكَ,معك,معك,1,1,1,0,0,معك,يمعك,امعك,مَعُكَ,يمعك,امعك
2173,شمل,شَمَلَ,شمل,شمل,1,0,0,0,0,شمل,يشمل,اشمل,شَمَلَ,يشمل,اشمل
2174,نقض,نَقَضَ,نقض,نقض,1,0,0,0,0,نقض,ينقض,انقض,نَقَضَ,ينقض,انقض
2175,رزن,رَزَنَ,رزن,رزن,1,0,0,0,0,رزن,يرزن,ارزن,رَزَنَ,يرزن,ارزن
2176,خزن,خَزُنَ,خزن,خزن,1,1,1,0,0,خزن,يخزن,اخزن,خَزُنَ,يخزن,اخزن
2177,فرض,فَرُضَ,فرض,فرض,1,1,1,0,0,فرض,يفرض,افرض,فَرُضَ,يفرض,افرض
2178,رقص,رَقَصَ,رقص,رقص,1,1,1,1,0,رقص,يرقص,ارقص,رَقَصَ,يرقص,ارقص
2179,شحب,شَحُبَ,شحب,شحب,1,1,1,0,0,شحب,يشحب,اشحب,شَحُبَ,يشحب,اشحب
2180,قدم,قَدُمَ,قدم,قدم,1,1,1,0,0,قدم,يقدم,اقدم,قَدُمَ,يقدم,اقدم
2181,ثقب,ثَقَبَ,ثقب,ثقب,1,0,0,0,0,ثقب,يثقب,اثقب,ثَقَبَ,يثقب,اثقب
2182,رزم,رَزَمَ,رزم,رزم,1,1,1,1,0,رزم,يرزم,ارزم,رَزَمَ,يرزم,ارزم
2183,نخر,نَخَرَ,نخر,نخر,1,0,0,0,0,نخر,ينخر,انخر,نَخَرَ,ينخر,انخر
2184,سدل,سَدَلَ,سدل,سدل,1,0,0,0,0,سدل,يسدل,اسدل,سَدَلَ,يسدل,اسدل
2185,ثرد,ثَرَدَ,ثرد,ثرد,1,0,0,0,0,ثرد,يثرد,اثرد,ثَرَدَ,يثرد,اثرد
2186,زعم,زَعَمَ,زعم,زعم,1,1,1,1,0,زعم,يزعم,ازعم,زَعَمَ,يزعم,ازعم
2187,رخم,رَخَمَ,رخم,رخم,1,0,0,0,0,رخم,يرخم,ارخم,رَخَمَ,يرخم,ارخم
2188,برق,بَرَقَ,برق,برق,1,1,1,1,0,برق,يبرق,ابرق,بَرَقَ,يبرق,ابرق
2189,سحق,سَحُقَ,سحق,سحق,1,1,1,0,0,سحق,يسحق,اسحق,سَحُقَ,يسحق,اسحق
2190,فلك,فَلَكَ,فلك,فلك,1,1,1,1,0,فلك,يفلك,افلك,فَلَكَ,يفلك,افلك
2191,عبر,عَبَرَ,عبر,عبر,1,0,0,0,0,عبر,يعبر,اعبر,عَبَرَ,يعبر,اعبر
2192,نبث,نَبَثَ,نبث,نبث,1,0,0,0,0,نبث,ينبث,انبث,نَبَثَ,ينبث,انبث
2193,خلف,خَلَفَ,خلف,خلف,1,0,0,0,0,خلف,يخلف,اخلف,خَلَفَ,يخلف,اخلف
2194,زرب,زَرَبَ,زرب,زرب,1,0,0,0,0,زرب,يزرب,ازرب,زَرَبَ,يزرب,ازرب
2195,غلظ,غَلُظَ,غلظ,غلظ,1,1,1,0,0,غلظ,يغلظ,اغلظ,غَلُظَ,يغلظ,اغلظ
2196,قدس,قَدُسَ,قدس,قدس,1,1,1,0,0,قدس,يقدس,اقدس,قَدُسَ,يقدس,اقدس
